state,title,body,created_at,updated_at
open,Step-by-step explanation for TON DNS subdomains system,"### Summary

An article describing how to work with subdomain resolvers, how to create and test tools like `resolve-contract.ton`.

As the subdomain resolver is rather interleaved with NFT searching code, this article might be better suited for blog than for documentation, however the either way I plan to maintain the good technical details level.

### Context

Currently, documentation does not feature how to build subdomain resolvers for TON DNS, and for existing resolvers (`auto-dns` and `manual-dns`) it only links to code, hindering technology adoption.

### Goals

- Create a detailed guide
- Publish it in TON Docs or TON Blog

### Deliverables

- Article with step-by-step explanation for TON DNS subdomains system and code of resolver contract `EQDkAbAZNb4uk-6pzTPDO2s0tXZweN-2R08T2Wy6Z3qzH_Zp`

### Definition of Done

- [ ] Article created
- [ ] Article published in TON Docs or TON Blog

### Reward

- Standard TON Footstep NFT
- 600$ in TON

### Oriental Release Date

11.06.2023",2023-06-03T15:46:49Z,2023-06-03T17:44:43Z
open,Documentation for Get Methods (Getters) in TON Blockchain,"### Summary

The project aims to update documentation([this page](https://docs.ton.org/develop/smart-contracts/guidelines/get-methods)) regarding the usage and implementation of TON Blockchain's Get Methods (Getters) to provide clarity on their functionality and usage. 

_This footstep was created with the help of a @footsteps_helper_bot_

[How to contribute?](https://docs.ton.org/contribute)

### Context

This project is necessary as developers who are new to TON Blockchain may not be familiar with the various Get Methods available and their uses. This documentation will help to provide detailed explanations and examples of the Get Methods, creating a more streamlined and efficient process for developers.

For example, developers may not be aware of why they cannot use Get Methods from another contract. This project aims to provide an explanation for this limitation and offer alternative methods to achieve the desired functionality.


### Goals

- Provide detailed explanations of design patterns for Get Methods in TON Blockchain.
- Clarify the specific uses and purposes of the most common Get Methods.
- Explain why Get Methods is impossible to invoke from another contract.


### Deliverables

- Get Methods clarified in the documentation.

### Definition of Done

- [ ] Updated version of [Get Methods](https://docs.ton.org/develop/smart-contracts/guidelines/get-methods) page with PR in docs.ton.org created.
 - [ ] PR reviewed and merged.

### Reward

* Standard TON Footstep NFT
* 150$ in TON equivalent

### Oriental Release Date

TBD",2023-06-03T11:06:25Z,2023-06-03T11:17:16Z
open,Step-by-Step Guide for Launching Lightserver,"### Summary

This project aims to create a comprehensive, easy-to-follow guide for launching Lightserver in the docs.ton.org.


_Footstep generated with the @footsteps_helper_bot._

### Context

Setting up Lightserver can be a challenging task for newcomers due to the lack of a separate guide right now. This project aims to create a detailed guide on launching Lightserver, which will be accessible to developers and Dev Ops.

Example for an archival node as an example - https://docs.ton.org/participate/run-nodes/archive-node

[How to contribute?](https://docs.ton.org/contribute)


### Goals

- Create a detailed, step-by-step guide for setting up Lightserver with PR in docs.ton.org.
- Add a link from https://docs.ton.org/participate/nodes/node-types page.



### Deliverables

DELIVERABLES:
- Step-by-Step guide for launching Lightserver


### Definition of Done

- [ ] A detailed step-by-step guide for setting up Lightserver with PR in docs.ton.org created.
- [ ] PR reviewed and merged.

### Reward

* Standard TON Footstep NFT
* 100$ in TON eqiuvalent 

### Oriental Release Date

TBD",2023-06-03T10:50:28Z,2023-06-03T11:36:40Z
open,Development of a Quiz Integration Module for Tact / FunC Documentation,"### Summary

Create a reusable module to integrate interactive quizzes into the Tact / FunC documentation pages, enhancing user engagement and understanding. The module's effectiveness will be demonstrated by integrating quizzes into a single selected page.
> **Note** Documentation for ReactJS provides a [reference implementation](https://react.dev/learn/javascript-in-jsx-with-curly-braces).

### Context

The current Tact / FunC documentation lacks interactive elements that can boost user engagement and understanding. To address this gap, a reusable module is required to facilitate the integration of interactive quizzes into the documentation pages.


### Goals

- Develop a reusable module to integrate interactive quizzes into the Tact / FunC documentation pages.
- Design three distinct interactive quizzes for a selected documentation page to demonstrate the module's usefulness.


### Deliverables

- Reusable codebase for the quiz integration module
- Three interactive quizzes with answer keys and explanations designed for a selected documentation page
- Successful demonstration of the module's functionality with the interactive quizzes seamlessly integrated into the selected documentation page.


### Definition of Done

- Reusable module is developed and thoroughly tested
- Three quizzes are created and successfully integrated into the selected documentation page
- Quizzes function as intended without compromising the existing design of the page.


### Reward

- TBD

### Oriental Release Date

- TBD",2023-05-31T17:07:24Z,2023-06-03T10:06:16Z
open,Creation of a Smart Contract Development Course on Tact,"### Summary

The course is a step-by-step video tutorial on learning and creating smart contracts in Tact in the TON blockchain. The course is divided into several subtopics, starting with the basic concepts and principles of smart contracts and gradually progressing to more complex topics.

### Context

I am an experienced blockchain developer in the field of smart contracts development in Solidity language, so I have deep knowledge and understanding of blockchain and smart contracts concepts.

Also in the past I've done a [course](https://www.youtube.com/@alefman_vladimir) on Solidity smart contracts development and successfully passed my knowledge and experience to other developers from the Russian-speaking community.

The course will focus on reducing the complexity and simplifying the process of entering into development in TON for programmers with different levels of experience. Beginner developers will get the necessary basics, and experienced developers will be able to quickly master the Tact language and adapt their development skills.

### Goals

- Clear and structured material with consistent video tutorials that explain each topic in detail and provide practical code examples.
- GitHub repository with structured code examples from the video course

### Deliverables

**10 video lessons.** Average video length - 15 mins. 
Each video is going to cover very focused information on specific topic


**Video 1: Introduction to TON**
 - Creating a wallet
 - getting test tokens 
 - connecting to a node
 - and sending a transaction to the blockchain 
([already done](https://www.youtube.com/watch?v=5Muo79ZsOIg))

**Video 2: Setting up and configuring the development environment, first hello world smart contract**
 - Setting up necessary tools and dependencies
 - Setting up the development environment to work with Tact
 - Blueprint framework

**Video 3: Syntax and Data Types in Tact**
 - Basic elements of Tact syntax
 - Working with different data types in Tact

**Video 4: Messages Between Contracts, Throwing Errors**

**Video 5: Sending TON Coins, Working with Gas**

**Video 6: Syntax and Data Types in Tact 2**
 - Functions
 - loops
 - arrays
 - maps 

**Video 7: Traits.** 
- The Ownable Trait.
- The Ownable-Transferable Trait
- The Stoppable Trait
- The Resumable Trait
- Writing Your Own Trait

**Video 8: From ERC20 to Jetton.** 
 - The actor model concept
 - Asynchronous blockchain

**Video 9: The nft collection contract**

**Video 10: The first dapp on TON integrated with Telegram** 
 - Interaction with TON blockchain via DApp
 - Connections to Tonconnect
 - Integration in Telegram Web Application


### Definition of Done

10 videos on the topics stated in the Deliverables block, published on YouTube with code on GitHub

### Reward

5000$ in Toncoin

### Oriental Release Date

average one video per week

by August 1 the whole course",2023-05-31T05:26:51Z,2023-06-02T04:38:11Z
open,IqraCrypto: Arabic Education Initiative,"### Summary

**Objective:**
Our goal is to make TON's groundbreaking technology accessible to the Arabic-speaking community by creating a series of educational courses. We aim to educate and empower this community with the knowledge and skills necessary to understand, use, and innovate on TON's platform.

Mena Region population: 480M
Mena Students: 110M
TON Arabic Content: nearly none


**About IqraCrypto:**
IqraCrypto is an educational platform that provides courses, guides, and resources about blockchain technology and cryptocurrencies. It aims to make blockchain education accessible to individuals from all backgrounds, with a particular focus on the MENA (Middle East and North Africa) region.

**We have won grants from Ethereum Swarm, Stacks, Celo, Dfinity and UD.**

### Context

Blockchain and cryptocurrency are revolutionizing various sectors globally. However, a significant knowledge gap exists, particularly in non-English speaking regions like MENA. This project is a crucial step towards bridging that gap, making the revolutionary technology behind TON accessible to a vast, untapped Arabic-speaking audience. By doing so, we empower these individuals to not only understand and use TON but also to innovate upon it, contributing to the ecosystem's growth.


The purpose of this proposal is to teach the MENA Region in arabic the importance of TON  and how to use it. We will teach people how to build on TON sustainable projects and how they could impact the unbanked in the region.
If we estimate that only 0.0125% uses the platform or see the courses on the platform, that is 50 000 learners!

Considering the bear market, we estimate the learners will be less as people are less interested in crypto right now, but content will always be available anytime anywhere.

### Goals

A comprehensive and consistent workflow aimed at educating the Arabic-speaking community about TON and improving the ecosystem can follow the steps below:

**1- Content Research & Planning:** Research topics relevant to TON that are valuable to the Arabic-speaking community. These topics should include an introduction to TON, detailed guides on its use, technical details on building on TON, and specific use-cases. This process should involve developing a content calendar that maps out when each piece of content will be created and published.

**2- Content Creation:** Based on the topics identified, create a series of educational content in various formats such as:

- Articles and Guides: Write comprehensive and accessible blog posts and step-by-step guides on topics like understanding TON, using TON wallets, participating in TON's ecosystem, and developing on TON.

- Video Tutorials: Produce video content that visually guides viewers on how to navigate the TON ecosystem, with topics ranging from basic usage to advanced development.

- Documentation: Develop technical documentation that provides in-depth information about TON's technology and how to build on it.

**3- Translation:** Translate all content into Arabic to make it accessible to the target audience.

**4- Quality Assurance:** Review the content for accuracy, clarity, and relevance. Make necessary revisions to ensure it provides value and is easy to understand.

**5- Publication:** Publish the content on the IqraCrypto platform and any other relevant platforms where the Arabic-speaking community can access it.

**6- Promotion:** Promote the content across various channels, including social media, email newsletters, and through partnerships with other crypto communities in the MENA region.

**7- Community Engagement:** Engage with the community through forums, Q&A sessions, webinars, and workshops to answer queries and facilitate discussions around the TON ecosystem.

**8- Analytics & Reporting:** Monitor engagement metrics to track the effectiveness of the content. Use these insights to refine future content and strategies.

This workflow ensures that a steady stream of high-quality, relevant content is produced to educate the Arabic-speaking community about TON, thereby enhancing its ecosystem.

### Deliverables

### **1. Introduction to TON Foundation and Its Technology:** 

Objective: Familiarize students with TON, its mission, vision, and the technology that powers it.

Deliverables: partnership article, course in PDF, course video on youtube, guide and social media posts

**Content:**

- Overview of the TON 
- Introduction to TON Blockchain
- Explanation of how TON Blockchain works, its unique features, and benefits

### **2. Deep Dive into TON Foundation and Wallet Transactions:**

Objective: Provide a detailed analysis of TON's, with a special focus on wallet transactions, fees, and other relevant details.

Deliverables: course in PDF, course video on youtube and platform, guide and social media posts, twitter space

**Content:**

- Detailed analysis of TON's operations
- Understanding TON wallet transactions and fees
- Overview of TON's blockchain scalability, speed, and security

### **3. Technical Course on How to Develop on TON Blockchain:**

Objective: Equip students with the technical know-how to develop on the TON Blockchain.

Deliverables: partnership article, course in PDF, course video on youtube, guide and social media posts, giveaway

**Content**

- Introduction to TON's development environment
- Step-by-step guide on creating a simple application on TON Blockchain
- Best practices for development on TON Blockchain

**Note:** 

- Each course is around 20-70 mins
- This grant could potentially be extended if the initiative proves successful in increasing the understanding and adoption of Ethereum Swarm among the Arabic-speaking community.
- We may need some support if we find difficulties in explaining some technical features.


### Definition of Done

Here will be shared the work links, which will be on:
https://iqracrypto.com
https://www.youtube.com/@iqracrypto
https://twitter.com/iqracrypto
https://www.linkedin.com/company/iqracrypto/

### Reward

**Milestones:**
1. Introduction to TON Foundation and Its Technology
5500 USD
2. Deep Dive into TON Foundation and Wallet Transactions
6000 USD
3. Technical Course on How to Develop on TON Blockchain
6500 USD

### Oriental Release Date

These milestones will be delivered in less than 6 months.
",2023-05-24T12:02:47Z,2023-05-24T12:03:55Z
open,Python library to communicate with Liteservers using ADNL over TCP,"### Summary

Develop a Python library with [pytonlib](https://github.com/toncenter/pytonlib) features that communicates with LiteServers via ADNL over TCP, without using tonlibjson binaries.

### Context

Currently there are 2 pretty low level libraries for Python that get the Blockchain info using liteservers: 
* [psylopunk/pytonlib](https://github.com/psylopunk/pytonlib) (which is unfortunately abandoned)
* [toncenter/pytonlib](https://github.com/toncenter/pytonlib)

Libraries are good, but there is a huge problem: they use tonlib binaries. That's why you can have troubles with the libraries
if you use not popular OS, you should compile binaries and/or install openssl ver 1.1.1. (for example for Ubuntu 20 or 22 and Windows 10 you have to reinstall openssl or install libssl-dev). Also Libraries owners should update binaries regularly, for example there are old binaries in psylopunk/pytonlib so you cannot work with testnet right away and you have to compile/download new binaries.

I have found at least 13 reports from Python devs who wanted to develop in TON but encountered difficulties even at the point of **installing** one of these libraries:
https://t.me/tondev_eng/28015
https://t.me/tondev_eng/28395
https://t.me/tondev/116179
https://t.me/tondev/95849
https://t.me/tondev/80806
https://t.me/tondev/123913
https://t.me/tondev_eng/23439
https://t.me/tondev_eng/22767
https://t.me/tondev_eng/23439
https://github.com/toncenter/pytonlib/issues/38
https://github.com/toncenter/pytonlib/issues/20
https://github.com/psylopunk/pytonlib/issues/30
https://github.com/psylopunk/pytonlib/issues/27

I spent only like 10 minutes for looking for complaints and a lot of newcomers don't even know about TON Dev chats so there are much more people who faced with this problem. 

So Python-TON community need this library to work with liteservers directly.

### Goals

- Develop a Python library for direct communication with LiteServers via ADNL over TCP 

### Deliverables

- Python library for direct communication with LiteServers via ADNL over TCP
- Tutorial on how to use the library
- Usage examples

### Definition of Done

- [ ] PyPi package and GitHub repo with source code
- [ ] Tutorial in README, examples folder


### Reward

* Standard TON Footstep NFT
* 5000 USD in TON


### Oriental Release Date

2 - 5 weeks",2023-05-24T11:55:53Z,2023-05-29T08:56:57Z
closed,Creation of a platform for checks (coupons),"### Summary

Development of a platform for checks (coupons) consisting of smart contracts, front-end and documentation.
The idea of checks is the following possibilities:
- creating a check for a certain amount
- attaching a check to a specific address
- creating a multicheck for several activations
- setting a password for the receipt

Case of using checks:
- user1 creates a check for 10 TON, assigns a password
- receives the qr code of the receipt activation transaction, and transfers it to the user2 (for example, by printing on paper)
- user2 scans the qr code, signs the transaction by specifying the password and receives 10 TON.
Thus, we have a semi-offline transmission of TON.

Checks can also be used for distribution to a large number of users.
  The main advantage is that all checks are available on the blockchain, unlike similar mechanics in other projects on the TON (cryptoBot)

### Context

_No response_

### Goals

- enable users to create checks securely on a smart contract
- enable semi-offline transactions of TON on smart contract

### Deliverables

Smart contract with the ability to create, delete, activate checks with parameters: set a password, bind to an address, number of activations. 
As well as a front-end on which you can conveniently use all the functionality through TON Connect 2.0

### Definition of Done

- [ ] Check smart contract development
- [ ] Development of a front-end for interacting with a smart contract
- [ ] Documentation development

### Reward

5,000 USD in TON equivalent

### Oriental Release Date

2-4 weeks",2023-05-23T22:04:58Z,2023-05-25T17:18:34Z
open,Display of each stage of the transaction,"### Summary

Display of each stage of the transaction

### Context

Display storage phase, credit phase, compute phase, action phase and list of output messages for transactions at tonscan.org.


### Goals

Extension of the standard set of information about transactions.


### Deliverables

Each transaction in TON goes through several phases, each of which can be sorted out at the transaction page. It must include: storage phase, credit phase, compute phase, action phase and list of output messages.


### Definition of Done

- [ ] All the above data is correctly displayed on the transaction page in an understandable way.


### Reward

4000 USD in TON


### Oriental Release Date

TBD",2023-05-22T19:35:15Z,2023-05-30T16:19:21Z
open,Blockchain Config page,"### Summary

Blockchain Config page

### Context

TON Ecosystem possesses an intricate configuration comprising numerous technical parameters, but only a minority comprehend the meaning of these parameters. Therefore, this project aims to offer a simple approach for users to comprehend the purpose and significance of these parameters at tonscan.org.


### Goals

Creating a dashboard that is easy for users to navigate and comprehend, enabling them to gain a better understanding of the technical parameters of TON Blockchain configuration.

Current page: http://explorer.toncoin.org/config

### Deliverables

Create a webpage that is easy to use and displays the current configuration parameters and their detailed descriptions in convenient format.


### Definition of Done

- [ ] All parameters from blockchain config are displayed on the page and described correctly.


### Reward

3000 USD in TON


### Oriental Release Date

TBD",2023-05-22T19:33:01Z,2023-05-30T16:22:53Z
