number,duration
251,
250,
249,
248,
247,
246,
245,
244,0
243,
242,
241,
240,
239,0
238,0
237,13
236,4
235,
233,
232,
231,
230,0
229,
228,
227,
226,
225,
224,
223,0
222,7
221,
220,6
219,1
218,
217,
216,35
215,33
214,
213,4
212,1
211,9
210,0
209,3
208,0
207,28
206,
205,38
204,
203,31
202,47
201,48
200,
199,46
198,
197,4
196,
195,
194,
193,16
192,1
191,
190,1
189,43
188,
187,
186,18
185,
184,
183,1
182,36
181,36
180,7
179,
178,
177,4
176,27
175,21
174,
173,
172,34
171,
170,
169,
168,69
167,1
166,0
165,84
164,0
163,
162,
161,21
160,45
159,7
158,31
157,71
156,0
155,14
154,
153,0
152,94
151,4
150,19
149,38
148,15
147,0
146,
145,82
144,2
143,
142,
141,57
140,19
139,1
138,
137,
136,3
135,3
134,
133,0
132,
131,134
130,
129,
128,39
127,
126,2
125,
124,15
123,15
122,0
121,0
120,37
119,136
118,
117,0
116,5
115,0
114,26
113,0
112,
111,0
110,2
109,6
108,93
107,40
106,3
105,45
104,2
103,2
102,0
101,0
100,4
99,145
98,5
97,6
96,0
95,24
94,
93,
92,16
91,
90,4
89,4
88,
87,71
86,84
85,5
84,
83,
82,3
81,51
80,5
79,
78,0
77,79
76,5
75,5
74,5
73,
72,0
71,
70,2
69,6
68,6
67,29
66,7
65,141
64,
63,9
62,0
61,0
60,1
59,15
58,16
57,
56,41
55,0
54,1
53,3
52,
51,5
50,82
49,10
48,0
47,0
46,0
45,6
44,0
43,
42,1
41,75
40,18
39,0
38,149
37,20
36,1
35,8
34,0
33,0
32,12
31,18
30,
29,6
28,24
27,79
26,
25,2
24,
23,93
22,
21,15
20,
19,
18,55
17,0
16,0
15,258
14,0
13,0
12,281
11,186
10,293
9,114
8,68
7,128
6,0
5,15
4,0
3,14
2,0
1,1
