number,duration
255,
254,0
253,0
252,
251,
250,
249,
248,
247,
246,
245,
244,0
243,
242,
241,
240,
239,0
238,0
237,13
236,4
235,
233,29
232,
231,
230,0
229,
228,
227,
226,
225,
224,
223,0
222,7
221,
220,6
219,1
218,
217,
216,35
215,33
214,51
213,4
212,1
211,9
210,0
209,3
208,0
207,28
206,
205,38
204,
203,31
202,47
201,48
200,
199,46
198,
197,4
196,
195,
194,
193,16
192,1
189,43
188,
187,
186,18
185,
184,
182,36
181,36
179,
176,27
174,
173,
172,34
168,69
165,84
163,
162,
160,45
157,71
152,94
145,82
137,
134,
131,134
129,
127,
125,
121,0
120,37
119,136
116,5
112,155
109,6
99,145
94,
88,
84,
83,
71,213
65,141
64,
57,
43,
35,8
20,
19,332
10,
5,357
3,357
