number,duration
10,293.0
12,281.0
15,258.0
11,186.0
38,149.0
99,145.0
65,141.0
119,136.0
131,134.0
7,128.0
9,114.0
152,94.0
108,93.0
23,93.0
86,84.0
165,84.0
50,82.0
145,82.0
27,79.0
77,79.0
41,75.0
87,71.0
157,71.0
168,69.0
8,68.0
141,57.0
18,55.0
81,51.0
201,48.0
202,47.0
199,46.0
160,45.0
105,45.0
189,43.0
56,41.0
107,40.0
128,39.0
205,38.0
149,38.0
120,37.0
181,36.0
182,36.0
216,35.0
172,34.0
215,33.0
203,31.0
158,31.0
67,29.0
207,28.0
176,27.0
114,26.0
95,24.0
28,24.0
161,21.0
175,21.0
37,20.0
140,19.0
150,19.0
31,18.0
186,18.0
40,18.0
92,16.0
193,16.0
58,16.0
59,15.0
21,15.0
5,15.0
124,15.0
123,15.0
148,15.0
3,14.0
155,14.0
237,13.0
32,12.0
49,10.0
211,9.0
63,9.0
35,8.0
159,7.0
180,7.0
66,7.0
222,7.0
29,6.0
97,6.0
45,6.0
220,6.0
69,6.0
68,6.0
109,6.0
75,5.0
76,5.0
51,5.0
80,5.0
85,5.0
74,5.0
116,5.0
98,5.0
89,4.0
213,4.0
197,4.0
100,4.0
177,4.0
151,4.0
90,4.0
236,4.0
106,3.0
136,3.0
209,3.0
82,3.0
135,3.0
53,3.0
110,2.0
126,2.0
70,2.0
103,2.0
144,2.0
25,2.0
104,2.0
36,1.0
42,1.0
54,1.0
1,1.0
60,1.0
167,1.0
219,1.0
212,1.0
192,1.0
190,1.0
183,1.0
139,1.0
48,0.0
166,0.0
96,0.0
17,0.0
16,0.0
78,0.0
14,0.0
13,0.0
72,0.0
208,0.0
210,0.0
62,0.0
55,0.0
223,0.0
6,0.0
230,0.0
4,0.0
238,0.0
2,0.0
101,0.0
164,0.0
47,0.0
156,0.0
46,0.0
102,0.0
44,0.0
239,0.0
111,0.0
113,0.0
39,0.0
115,0.0
117,0.0
121,0.0
122,0.0
34,0.0
33,0.0
133,0.0
61,0.0
147,0.0
153,0.0
244,0.0
251,
250,
249,
248,
247,
246,
245,
243,
242,
241,
240,
235,
233,
232,
231,
229,
228,
227,
226,
225,
224,
221,
218,
217,
214,
206,
204,
200,
198,
196,
195,
194,
191,
188,
187,
185,
184,
179,
178,
174,
173,
171,
170,
169,
163,
162,
154,
146,
143,
142,
138,
137,
134,
132,
130,
129,
127,
125,
118,
112,
94,
93,
91,
88,
84,
83,
79,
73,
71,
64,
57,
52,
43,
30,
26,
24,
22,
20,
19,
