Issue Number,Rewards (th. $)
237,0.10
233,3.00
221,10.00
216,3.84
215,1.25
214,2.00
205,5.00
203,1.20
202,0.50
201,0.50
199,1.00
193,5.00
193,5.00
193,5.00
193,5.00
193,5.00
189,5.00
189,5.00
189,5.00
189,5.00
189,5.00
186,5.00
182,5.00
176,0.60
175,0.60
172,0.30
165,1.00
161,5.00
161,5.00
161,5.00
161,5.00
161,5.00
157,0.60
155,5.00
155,5.00
155,5.00
155,5.00
155,5.00
150,0.50
149,5.00
149,5.00
149,5.00
149,5.00
149,5.00
141,2.00
140,5.00
140,5.00
140,5.00
140,5.00
140,5.00
137,3.13
131,4.00
128,2.00
124,0.55
123,0.70
119,1.30
116,2.10
114,0.50
112,1.20
110,0.90
108,5.00
108,5.00
108,5.00
108,5.00
108,5.00
107,5.00
107,5.00
107,5.00
107,5.00
107,5.00
105,4.00
103,0.60
92,1.00
89,2.00
87,0.50
86,3.00
81,4.25
75,0.17
74,0.35
71,2.00
67,4.75
66,0.16
63,0.15
61,0.17
59,2.00
58,1.15
56,0.34
53,1.50
49,0.60
45,1.00
42,1.20
41,2.60
40,0.80
37,2.60
32,3.70
31,10.80
23,1.20
18,5.60
11,7.50
10,1.73
8,1.10
7,1.25
